Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
86,Watford,2019-04-20,Huddersfield,eng Premier League,W 2-1,2,1,+1,54,2,0,0,0,15,11,0,1,1,2,0,Match Report
87,Newcastle Utd,2019-04-20,Southampton,eng Premier League,W 3-1,3,1,+2,44,3,0,0,0,23,13,1,1,2,2,4,Match Report
88,Manchester City,2019-04-20,Tottenham,eng Premier League,W 1-0,1,0,+1,61,1,0,0,0,26,21,2,2,0,1,0,Match Report
89,Brighton,2019-04-16,Cardiff City,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,26,17,4,1,1,2,1,Match Report
90,Cardiff City,2019-04-16,Brighton,eng Premier League,W 2-0,2,0,+2,36,2,0,0,0,17,8,4,3,0,1,1,Match Report
91,Arsenal,2019-04-15,Watford,eng Premier League,W 1-0,1,0,+1,65,1,0,0,0,34,28,2,1,3,0,0,Match Report
92,Watford,2019-04-15,Arsenal,eng Premier League,L 0-1,0,1,-1,35,0,0,0,0,18,14,0,1,1,2,0,Match Report
93,Liverpool,2019-04-14,Chelsea,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,28,24,1,1,1,0,1,Match Report
94,Manchester City,2019-04-14,Crystal Palace,eng Premier League,W 3-1,3,1,+2,73,3,0,0,0,35,30,0,2,2,0,1,Match Report
95,Crystal Palace,2019-04-14,Manchester City,eng Premier League,L 1-3,1,3,-2,27,1,0,0,0,12,9,1,0,1,1,0,Match Report
96,Chelsea,2019-04-14,Liverpool,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,11,9,0,1,0,0,1,Match Report
97,West Ham,2019-04-13,Manchester Utd,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,30,19,5,1,3,1,1,Match Report
98,Burnley,2019-04-13,Cardiff City,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,23,12,5,0,3,3,0,Match Report
99,Southampton,2019-04-13,Wolves,eng Premier League,W 3-1,3,1,+2,31,3,0,0,0,14,10,1,0,2,0,1,Match Report
100,Bournemouth,2019-04-13,Brighton,eng Premier League,W 5-0,5,0,+5,49,5,0,0,0,25,22,0,1,0,1,1,Match Report
101,Brighton,2019-04-13,Bournemouth,eng Premier League,L 0-5,0,5,-5,51,0,0,0,0,14,12,1,0,0,0,1,Match Report
102,Manchester Utd,2019-04-13,West Ham,eng Premier League,W 2-1,2,1,+1,43,0,2,2,0,25,17,1,2,3,2,0,Match Report
103,Tottenham,2019-04-13,Huddersfield,eng Premier League,W 4-0,4,0,+4,69,4,0,0,0,42,28,3,6,2,3,0,Match Report
104,Fulham,2019-04-13,Everton,eng Premier League,W 2-0,2,0,+2,41,2,0,0,0,24,17,3,1,2,1,0,Match Report
105,Everton,2019-04-13,Fulham,eng Premier League,L 0-2,0,2,-2,59,0,0,0,0,18,14,1,1,0,1,1,Match Report
106,Wolves,2019-04-13,Southampton,eng Premier League,L 1-3,1,3,-2,69,1,0,0,0,28,16,4,2,3,2,1,Match Report
107,Cardiff City,2019-04-13,Burnley,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,25,22,1,1,0,1,0,Match Report
108,Huddersfield,2019-04-13,Tottenham,eng Premier League,L 0-4,0,4,-4,31,0,0,0,0,12,7,1,2,0,1,1,Match Report
109,Leicester City,2019-04-12,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,71,0,0,0,0,21,18,1,0,0,1,1,Match Report
110,Newcastle Utd,2019-04-12,Leicester City,eng Premier League,W 1-0,1,0,+1,29,1,0,0,0,19,14,1,2,0,1,1,Match Report
111,Chelsea,2019-04-08,West Ham,eng Premier League,W 2-0,2,0,+2,53,2,0,0,0,32,24,0,6,0,2,0,Match Report
112,West Ham,2019-04-08,Chelsea,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,16,11,2,0,2,0,1,Match Report
113,Arsenal,2019-04-07,Everton,eng Premier League,L 0-1,0,1,-1,57,0,0,0,0,13,10,1,1,1,0,0,Match Report
114,Everton,2019-04-07,Arsenal,eng Premier League,W 1-0,1,0,+1,43,1,0,0,0,36,23,6,1,6,0,0,Match Report
115,Crystal Palace,2019-04-06,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,47,0,1,1,0,6,4,0,1,0,1,0,Match Report
116,Burnley,2019-04-06,Bournemouth,eng Premier League,W 3-1,3,1,+2,41,3,0,0,0,17,9,5,0,0,3,0,Match Report
117,Leicester City,2019-04-06,Huddersfield,eng Premier League,W 4-1,4,1,+3,55,3,1,1,0,29,17,3,3,3,3,0,Match Report
118,Newcastle Utd,2019-04-06,Crystal Palace,eng Premier League,L 0-1,0,1,-1,53,0,0,0,0,35,28,3,0,2,2,0,Match Report
119,Bournemouth,2019-04-06,Burnley,eng Premier League,L 1-3,1,3,-2,59,0,0,0,0,18,13,1,1,1,2,0,Match Report
120,Huddersfield,2019-04-06,Leicester City,eng Premier League,L 1-4,1,4,-3,45,0,1,1,0,15,7,3,1,3,1,0,Match Report
121,Liverpool,2019-04-05,Southampton,eng Premier League,W 3-1,3,1,+2,67,3,0,0,0,30,24,2,2,2,0,0,Match Report
122,Southampton,2019-04-05,Liverpool,eng Premier League,L 1-3,1,3,-2,33,1,0,0,0,20,12,4,1,2,1,0,Match Report
123,Chelsea,2019-04-03,Brighton,eng Premier League,W 3-0,3,0,+3,68,3,0,0,0,34,27,1,3,1,1,1,Match Report
124,Manchester City,2019-04-03,Cardiff City,eng Premier League,W 2-0,2,0,+2,79,2,0,0,0,52,38,5,3,2,4,0,Match Report
125,Cardiff City,2019-04-03,Manchester City,eng Premier League,L 0-2,0,2,-2,21,0,0,0,0,5,1,2,2,0,0,0,Match Report
126,Brighton,2019-04-03,Chelsea,eng Premier League,L 0-3,0,3,-3,32,0,0,0,0,6,4,1,1,0,0,0,Match Report
127,Tottenham,2019-04-03,Crystal Palace,eng Premier League,W 2-0,2,0,+2,65,2,0,0,0,40,30,2,1,3,1,3,Match Report
