Rk,Team,Date,Opp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
96,Crystal Palace,2022-04-30,Southampton,W 2-1,2,1,+1,62,2,0,0,0,708,83,255,255,146,27,708,Match Report
97,Chelsea,2022-04-28,Manchester Utd,D 1-1,1,1,0,64,1,0,0,0,774,37,155,255,255,41,774,Match Report
98,Manchester Utd,2022-04-28,Chelsea,D 1-1,1,1,0,36,1,0,0,0,488,79,207,188,96,15,488,Match Report
99,Crystal Palace,2022-04-25,Leeds United,D 0-0,0,0,0,53,0,0,0,0,616,58,210,255,153,35,616,Match Report
100,Leeds United,2022-04-25,Crystal Palace,D 0-0,0,0,0,47,0,0,0,0,570,76,247,228,102,10,570,Match Report
101,Liverpool,2022-04-24,Everton,W 2-0,2,0,+2,82,2,0,0,0,970,43,165,255,255,40,970,Match Report
102,Southampton,2022-04-24,Brighton,D 2-2,2,2,0,52,2,0,0,0,557,48,171,214,175,25,557,Match Report
103,West Ham,2022-04-24,Chelsea,L 0-1,0,1,-1,34,0,0,0,0,497,96,233,162,107,11,497,Match Report
104,Wolves,2022-04-24,Burnley,L 0-1,0,1,-1,64,0,0,0,0,756,54,199,255,153,28,756,Match Report
105,Burnley,2022-04-24,Wolves,W 1-0,1,0,+1,36,1,0,0,0,490,57,146,236,118,16,490,Match Report
106,Everton,2022-04-24,Liverpool,L 0-2,0,2,-2,18,0,0,0,0,356,77,180,118,63,12,356,Match Report
107,Chelsea,2022-04-24,West Ham,W 1-0,1,0,+1,66,1,0,1,1,865,56,221,255,255,45,864,Match Report
108,Brighton,2022-04-24,Southampton,D 2-2,2,2,0,48,1,0,0,0,535,79,191,180,168,27,535,Match Report
109,Watford,2022-04-23,Manchester City,L 1-5,1,5,-4,27,1,0,0,0,381,76,173,154,65,10,381,Match Report
110,Manchester Utd,2022-04-23,Arsenal,L 1-3,1,3,-2,46,1,0,1,1,545,55,195,236,121,15,544,Match Report
111,Tottenham,2022-04-23,Brentford,D 0-0,0,0,0,56,0,0,0,0,683,72,189,255,194,26,683,Match Report
112,Norwich City,2022-04-23,Newcastle Utd,L 0-3,0,3,-3,46,0,0,0,0,562,49,173,255,137,11,562,Match Report
113,Arsenal,2022-04-23,Manchester Utd,W 3-1,3,1,+2,54,2,1,1,0,633,72,196,255,143,18,632,Match Report
114,Aston Villa,2022-04-23,Leicester City,D 0-0,0,0,0,36,0,0,0,0,429,61,162,161,113,22,429,Match Report
115,Newcastle Utd,2022-04-23,Norwich City,W 3-0,3,0,+3,54,3,0,0,0,662,59,228,255,143,19,662,Match Report
