Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
80,West Ham,2018-04-22,Arsenal,eng Premier League,L 1-4,1,4,-3,33,1,0,0,0,19,12,3,1,1,2,0,Match Report
81,Liverpool,2018-04-21,West Brom,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,16,13,0,2,0,1,0,Match Report
82,West Brom,2018-04-21,Liverpool,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,21,11,3,1,2,3,1,Match Report
83,Watford,2018-04-21,Crystal Palace,eng Premier League,D 0-0,0,0,0,52,0,0,0,0,23,20,1,1,1,0,0,Match Report
84,Crystal Palace,2018-04-21,Watford,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,12,5,3,0,0,3,1,Match Report
85,Chelsea,2018-04-19,Burnley,eng Premier League,W 2-1,2,1,+1,60,1,0,0,0,30,25,1,1,1,1,1,Match Report
86,Leicester City,2018-04-19,Southampton,eng Premier League,D 0-0,0,0,0,54,0,0,0,0,21,15,1,3,2,0,0,Match Report
87,Burnley,2018-04-19,Chelsea,eng Premier League,L 1-2,1,2,-1,40,1,0,0,0,8,5,1,0,1,1,0,Match Report
88,Southampton,2018-04-19,Leicester City,eng Premier League,D 0-0,0,0,0,46,0,0,0,0,9,6,0,1,2,0,0,Match Report
89,Manchester Utd,2018-04-18,Bournemouth,eng Premier League,W 2-0,2,0,+2,55,2,0,0,0,23,16,1,1,1,2,2,Match Report
90,Bournemouth,2018-04-18,Manchester Utd,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,25,17,3,3,1,1,0,Match Report
91,Brighton,2018-04-17,Tottenham,eng Premier League,D 1-1,1,1,0,37,0,1,1,0,15,9,2,2,0,1,1,Match Report
92,Tottenham,2018-04-17,Brighton,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,25,20,0,1,1,2,1,Match Report
93,Stoke City,2018-04-16,West Ham,eng Premier League,D 1-1,1,1,0,37,1,0,0,0,21,13,2,3,2,1,0,Match Report
94,West Ham,2018-04-16,Stoke City,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,33,21,2,3,1,6,0,Match Report
95,Arsenal,2018-04-15,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,71,1,0,0,0,26,23,2,0,0,1,0,Match Report
96,Newcastle Utd,2018-04-15,Arsenal,eng Premier League,W 2-1,2,1,+1,29,2,0,0,0,15,11,1,2,1,0,0,Match Report
97,Manchester Utd,2018-04-15,West Brom,eng Premier League,L 0-1,0,1,-1,70,0,0,0,0,26,25,0,0,1,0,0,Match Report
98,West Brom,2018-04-15,Manchester Utd,eng Premier League,W 1-0,1,0,+1,30,1,0,0,0,16,14,0,1,1,0,0,Match Report
99,Manchester City,2018-04-14,Tottenham,eng Premier League,W 3-1,3,1,+2,52,2,1,1,0,30,21,2,1,3,3,0,Match Report
100,Swansea City,2018-04-14,Everton,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,30,24,3,1,2,0,0,Match Report
101,Huddersfield,2018-04-14,Watford,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,15,13,0,0,1,0,1,Match Report
102,Everton,2018-04-14,Swansea City,eng Premier League,D 1-1,1,1,0,49,0,0,0,0,20,13,2,1,2,2,0,Match Report
103,Brighton,2018-04-14,Crystal Palace,eng Premier League,L 2-3,2,3,-1,51,2,0,0,0,20,14,3,1,2,0,0,Match Report
104,Chelsea,2018-04-14,Southampton,eng Premier League,W 3-2,3,2,+1,58,3,0,0,0,31,23,5,2,0,1,0,Match Report
105,Leicester City,2018-04-14,Burnley,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,28,22,2,3,0,1,0,Match Report
106,Burnley,2018-04-14,Leicester City,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,12,7,2,0,2,1,0,Match Report
107,Liverpool,2018-04-14,Bournemouth,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,37,30,2,1,1,1,2,Match Report
