Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
16,Watford,2018-05-13,Manchester Utd,eng Premier League,L 0-1,0,1,-1,48,0,0,0,0,369,1998,1145,22,19,6,15,12,373,40,Match Report
17,Bournemouth,2018-05-13,Burnley,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,254,1376,601,10,6,1,14,8,336,32,Match Report
18,Crystal Palace,2018-05-13,West Brom,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,512,2839,1585,33,31,9,13,26,514,65,Match Report
19,Tottenham,2018-05-13,Leicester City,eng Premier League,W 5-4,5,4,+1,64,4,0,0,0,351,2086,1004,20,15,5,11,14,409,41,Match Report
20,Southampton,2018-05-13,Manchester City,eng Premier League,L 0-1,0,1,-1,31,0,0,0,0,186,1080,522,12,10,1,11,9,188,20,Match Report
21,Manchester Utd,2018-05-10,West Ham,eng Premier League,D 0-0,0,0,0,56,0,0,0,0,406,2286,1004,18,15,5,14,10,550,38,Match Report
22,West Ham,2018-05-10,Manchester Utd,eng Premier League,D 0-0,0,0,0,44,0,0,0,0,338,1757,1000,19,14,4,12,9,408,28,Match Report
23,Manchester City,2018-05-09,Brighton,eng Premier League,W 3-1,3,1,+2,73,3,0,0,0,688,3552,2169,36,33,9,13,6,808,68,Match Report
24,Huddersfield,2018-05-09,Chelsea,eng Premier League,D 1-1,1,1,0,22,1,0,0,0,148,719,300,3,3,0,12,10,141,12,Match Report
25,Brighton,2018-05-09,Manchester City,eng Premier League,L 1-3,1,3,-2,27,1,0,0,0,277,1544,657,13,7,0,20,7,252,15,Match Report
26,Arsenal,2018-05-09,Leicester City,eng Premier League,L 1-3,1,3,-2,59,1,0,0,0,388,1797,998,28,14,8,8,11,408,35,Match Report
27,Chelsea,2018-05-09,Huddersfield,eng Premier League,D 1-1,1,1,0,78,1,0,0,0,737,3854,1983,41,36,9,31,18,758,110,Match Report
28,Newcastle Utd,2018-05-09,Tottenham,eng Premier League,L 0-1,0,1,-1,37,0,0,0,0,209,1133,594,10,8,2,16,8,229,30,Match Report
29,Leicester City,2018-05-09,Arsenal,eng Premier League,W 3-1,3,1,+2,41,2,1,1,0,296,1686,908,24,15,8,8,13,264,41,Match Report
30,Tottenham,2018-05-09,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,63,1,0,0,0,419,2537,1301,23,21,4,12,15,490,58,Match Report
31,Swansea City,2018-05-08,Southampton,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,292,1262,570,10,10,5,15,11,318,30,Match Report
32,Southampton,2018-05-08,Swansea City,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,252,1217,505,3,6,3,10,7,281,34,Match Report
33,Manchester City,2018-05-06,Huddersfield,eng Premier League,D 0-0,0,0,0,78,0,0,0,0,590,3139,1725,30,28,4,11,12,675,63,Match Report
34,Huddersfield,2018-05-06,Manchester City,eng Premier League,D 0-0,0,0,0,22,0,0,0,0,126,674,282,4,3,1,7,9,122,14,Match Report
35,Chelsea,2018-05-06,Liverpool,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,264,1620,884,20,14,7,10,9,276,29,Match Report
36,Arsenal,2018-05-06,Burnley,eng Premier League,W 5-0,5,0,+5,63,5,0,0,0,532,3011,1875,36,24,13,11,10,606,64,Match Report
37,Burnley,2018-05-06,Arsenal,eng Premier League,L 0-5,0,5,-5,37,0,0,0,0,289,1379,634,10,8,3,11,9,310,30,Match Report
38,Liverpool,2018-05-06,Chelsea,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,590,2679,1303,21,15,1,20,13,705,75,Match Report
39,Swansea City,2018-05-05,Bournemouth,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,279,1460,663,10,11,0,14,3,357,29,Match Report
40,Stoke City,2018-05-05,Crystal Palace,eng Premier League,L 1-2,1,2,-1,41,1,0,0,0,200,990,566,8,6,2,20,3,200,29,Match Report
41,Everton,2018-05-05,Southampton,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,322,1748,878,18,10,3,19,13,358,38,Match Report
42,Newcastle Utd,2018-05-05,Watford,eng Premier League,L 1-2,1,2,-1,61,1,0,0,0,445,2535,1340,28,20,3,17,9,509,50,Match Report
43,Leicester City,2018-05-05,West Ham,eng Premier League,L 0-2,0,2,-2,53,0,0,0,0,311,1969,1047,21,18,3,5,13,347,41,Match Report
44,West Ham,2018-05-05,Leicester City,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,257,1740,863,26,14,7,9,15,298,39,Match Report
45,West Brom,2018-05-05,Tottenham,eng Premier League,W 1-0,1,0,+1,26,1,0,0,0,139,726,396,5,5,0,20,8,134,8,Match Report
46,Bournemouth,2018-05-05,Swansea City,eng Premier League,W 1-0,1,0,+1,45,1,0,0,0,262,1464,656,16,14,4,20,10,296,33,Match Report
47,Watford,2018-05-05,Newcastle Utd,eng Premier League,W 2-1,2,1,+1,39,2,0,1,1,284,1307,683,15,8,5,13,6,302,29,Match Report
48,Crystal Palace,2018-05-05,Stoke City,eng Premier League,W 2-1,2,1,+1,59,2,0,0,0,309,1678,891,24,16,8,20,11,337,42,Match Report
49,Tottenham,2018-05-05,West Brom,eng Premier League,L 0-1,0,1,-1,74,0,0,0,0,457,2568,1390,28,32,3,19,7,544,89,Match Report
50,Southampton,2018-05-05,Everton,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,261,1604,903,21,11,3,16,10,284,33,Match Report
51,Brighton,2018-05-04,Manchester Utd,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,229,1412,772,12,9,6,15,5,228,24,Match Report
52,Manchester Utd,2018-05-04,Brighton,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,499,2435,1311,19,23,3,17,10,625,43,Match Report
53,Watford,2018-04-30,Tottenham,eng Premier League,L 0-2,0,2,-2,39,0,0,0,0,256,1275,594,16,6,7,16,8,275,31,Match Report
54,Tottenham,2018-04-30,Watford,eng Premier League,W 2-0,2,0,+2,61,2,0,0,0,379,1916,927,15,16,4,15,12,506,54,Match Report
55,Manchester City,2018-04-29,West Ham,eng Premier League,W 4-1,4,1,+3,74,3,0,0,0,634,3338,1793,32,33,10,18,9,826,72,Match Report
56,Arsenal,2018-04-29,Manchester Utd,eng Premier League,L 1-2,1,2,-1,41,1,0,0,0,371,2101,1187,24,23,3,11,12,377,36,Match Report
57,Manchester Utd,2018-04-29,Arsenal,eng Premier League,W 2-1,2,1,+1,59,2,0,0,0,492,2807,1565,31,25,8,17,17,575,57,Match Report
58,West Ham,2018-04-29,Manchester City,eng Premier League,L 1-4,1,4,-3,26,1,0,0,0,193,1194,496,8,6,0,12,7,222,19,Match Report
59,Swansea City,2018-04-28,Chelsea,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,484,2526,1271,20,15,3,12,8,524,51,Match Report
60,Stoke City,2018-04-28,Liverpool,eng Premier League,D 0-0,0,0,0,29,0,0,0,0,133,727,400,8,4,2,24,1,148,11,Match Report
61,Huddersfield,2018-04-28,Everton,eng Premier League,L 0-2,0,2,-2,54,0,0,0,0,382,2508,1140,20,23,6,21,16,411,47,Match Report
62,Everton,2018-04-28,Huddersfield,eng Premier League,W 2-0,2,0,+2,46,2,0,0,0,278,1390,677,14,15,4,19,9,326,38,Match Report
63,Brighton,2018-04-28,Burnley,eng Premier League,D 0-0,0,0,0,55,0,0,0,0,275,1568,802,21,11,6,22,3,337,39,Match Report
64,Chelsea,2018-04-28,Swansea City,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,485,2548,1454,26,20,8,13,18,516,42,Match Report
65,Newcastle Utd,2018-04-28,West Brom,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,453,2714,1498,22,23,1,15,12,501,51,Match Report
66,Leicester City,2018-04-28,Crystal Palace,eng Premier League,L 0-5,0,5,-5,50,0,0,0,0,307,2006,1080,24,14,2,11,3,341,37,Match Report
67,Burnley,2018-04-28,Brighton,eng Premier League,D 0-0,0,0,0,45,0,0,0,0,202,1170,600,16,8,3,17,9,243,22,Match Report
68,Liverpool,2018-04-28,Stoke City,eng Premier League,D 0-0,0,0,0,71,0,0,0,0,473,2645,1340,29,19,5,19,11,561,63,Match Report
69,West Brom,2018-04-28,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,242,1162,520,14,3,6,17,13,255,35,Match Report
70,Bournemouth,2018-04-28,Southampton,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,346,1631,895,15,10,6,12,9,428,48,Match Report
71,Crystal Palace,2018-04-28,Leicester City,eng Premier League,W 5-0,5,0,+5,50,4,1,1,0,345,1761,865,25,13,8,11,13,363,38,Match Report
72,Southampton,2018-04-28,Bournemouth,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,274,1495,781,17,14,7,16,7,259,31,Match Report
73,Everton,2018-04-23,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,56,1,0,0,0,343,1745,935,14,9,1,26,14,391,37,Match Report
74,Newcastle Utd,2018-04-23,Everton,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,254,1145,551,13,9,1,20,9,258,24,Match Report
75,Manchester City,2018-04-22,Swansea City,eng Premier League,W 5-0,5,0,+5,82,5,0,1,1,715,3169,1913,36,25,10,13,8,956,94,Match Report
76,Stoke City,2018-04-22,Burnley,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,190,1112,492,11,10,2,7,5,214,32,Match Report
77,Swansea City,2018-04-22,Manchester City,eng Premier League,L 0-5,0,5,-5,18,0,0,0,0,147,853,376,6,6,1,14,8,155,10,Match Report
78,Arsenal,2018-04-22,West Ham,eng Premier League,W 4-1,4,1,+3,67,4,0,0,0,547,2812,1594,30,23,10,15,6,578,62,Match Report
79,Burnley,2018-04-22,Stoke City,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,256,1445,682,12,9,4,15,12,333,39,Match Report
80,West Ham,2018-04-22,Arsenal,eng Premier League,L 1-4,1,4,-3,33,1,0,0,0,217,1037,459,6,3,2,12,3,215,15,Match Report
81,Liverpool,2018-04-21,West Brom,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,467,2359,1343,22,17,2,11,8,514,55,Match Report
82,West Brom,2018-04-21,Liverpool,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,283,1607,856,12,8,4,12,9,276,23,Match Report
83,Watford,2018-04-21,Crystal Palace,eng Premier League,D 0-0,0,0,0,52,0,0,0,0,267,1214,608,14,12,1,11,10,259,36,Match Report
84,Crystal Palace,2018-04-21,Watford,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,258,1330,599,9,6,7,18,16,259,23,Match Report
85,Chelsea,2018-04-19,Burnley,eng Premier League,W 2-1,2,1,+1,60,1,0,0,0,465,2559,1406,27,20,7,17,8,539,50,Match Report
86,Leicester City,2018-04-19,Southampton,eng Premier League,D 0-0,0,0,0,54,0,0,0,0,302,1818,1022,23,30,3,13,10,382,30,Match Report
87,Burnley,2018-04-19,Chelsea,eng Premier League,L 1-2,1,2,-1,40,1,0,0,0,328,1530,677,9,10,1,11,6,309,25,Match Report
88,Southampton,2018-04-19,Leicester City,eng Premier League,D 0-0,0,0,0,46,0,0,0,0,280,1277,545,9,10,2,19,13,314,36,Match Report
89,Manchester Utd,2018-04-18,Bournemouth,eng Premier League,W 2-0,2,0,+2,55,2,0,0,0,408,2186,1163,28,12,12,12,4,487,40,Match Report
90,Bournemouth,2018-04-18,Manchester Utd,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,355,2094,1205,25,16,8,13,11,373,42,Match Report
91,Brighton,2018-04-17,Tottenham,eng Premier League,D 1-1,1,1,0,37,0,1,1,0,255,1300,569,8,9,2,13,7,269,22,Match Report
92,Tottenham,2018-04-17,Brighton,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,484,2629,1515,22,19,5,17,16,568,66,Match Report
93,Stoke City,2018-04-16,West Ham,eng Premier League,D 1-1,1,1,0,37,1,0,0,0,202,1166,602,12,8,4,16,4,216,31,Match Report
94,West Ham,2018-04-16,Stoke City,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,359,1879,907,17,16,5,19,9,394,48,Match Report
95,Arsenal,2018-04-15,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,71,1,0,0,0,568,2826,1391,23,19,3,17,14,617,67,Match Report
96,Newcastle Utd,2018-04-15,Arsenal,eng Premier League,W 2-1,2,1,+1,29,2,0,0,0,182,1016,404,11,7,4,14,16,187,17,Match Report
97,Manchester Utd,2018-04-15,West Brom,eng Premier League,L 0-1,0,1,-1,70,0,0,0,0,566,3403,2095,31,42,4,18,7,676,65,Match Report
98,West Brom,2018-04-15,Manchester Utd,eng Premier League,W 1-0,1,0,+1,30,1,0,0,0,228,1567,894,21,16,2,7,11,234,22,Match Report
99,Manchester City,2018-04-14,Tottenham,eng Premier League,W 3-1,3,1,+2,52,2,1,1,0,386,1922,1085,19,11,9,15,14,449,44,Match Report
100,Swansea City,2018-04-14,Everton,eng Premier League,D 1-1,1,1,0,51,1,0,0,0,322,1829,1070,23,13,6,12,14,355,40,Match Report
101,Huddersfield,2018-04-14,Watford,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,243,1378,698,19,16,5,13,14,279,40,Match Report
102,Everton,2018-04-14,Swansea City,eng Premier League,D 1-1,1,1,0,49,0,0,0,0,306,1380,669,9,7,0,12,12,354,32,Match Report
103,Brighton,2018-04-14,Crystal Palace,eng Premier League,L 2-3,2,3,-1,51,2,0,0,0,243,1587,902,15,7,1,15,8,280,34,Match Report
104,Chelsea,2018-04-14,Southampton,eng Premier League,W 3-2,3,2,+1,58,3,0,0,0,435,2368,1270,27,21,5,12,9,453,53,Match Report
105,Leicester City,2018-04-14,Burnley,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,287,1947,1015,23,16,6,11,7,356,30,Match Report
106,Burnley,2018-04-14,Leicester City,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,163,733,406,9,10,2,13,8,194,23,Match Report
107,Liverpool,2018-04-14,Bournemouth,eng Premier League,W 3-0,3,0,+3,61,3,0,0,0,400,2221,1394,35,24,9,15,6,543,72,Match Report
108,Watford,2018-04-14,Huddersfield,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,234,1188,496,3,7,0,11,16,309,31,Match Report
109,Bournemouth,2018-04-14,Liverpool,eng Premier League,L 0-3,0,3,-3,39,0,0,0,0,247,1238,657,8,12,4,17,16,314,25,Match Report
110,Crystal Palace,2018-04-14,Brighton,eng Premier League,W 3-2,3,2,+1,49,3,0,0,0,295,1394,736,17,16,6,21,8,294,37,Match Report
111,Tottenham,2018-04-14,Manchester City,eng Premier League,L 1-3,1,3,-2,48,1,0,0,0,358,1644,868,15,9,5,9,8,392,42,Match Report
112,Southampton,2018-04-14,Chelsea,eng Premier League,L 2-3,2,3,-1,42,2,0,0,0,310,1220,628,16,8,4,10,8,305,24,Match Report
113,Chelsea,2018-04-08,West Ham,eng Premier League,D 1-1,1,1,0,59,1,0,0,0,465,2745,1544,39,25,9,21,8,540,68,Match Report
114,Arsenal,2018-04-08,Southampton,eng Premier League,W 3-2,3,2,+1,64,3,0,0,0,573,2407,1249,16,24,3,12,8,623,52,Match Report
115,West Ham,2018-04-08,Chelsea,eng Premier League,D 1-1,1,1,0,41,1,0,0,0,259,1622,693,9,8,2,12,10,320,33,Match Report
116,Southampton,2018-04-08,Arsenal,eng Premier League,L 2-3,2,3,-1,36,2,0,0,0,247,1059,525,10,6,3,15,8,286,32,Match Report
117,Stoke City,2018-04-07,Tottenham,eng Premier League,L 1-2,1,2,-1,35,1,0,0,0,192,921,450,11,8,3,13,8,182,20,Match Report
118,Manchester City,2018-04-07,Manchester Utd,eng Premier League,L 2-3,2,3,-1,64,2,0,0,0,497,3078,1660,35,26,5,14,8,544,58,Match Report
119,Swansea City,2018-04-07,West Brom,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,323,1797,1034,19,8,3,10,8,380,38,Match Report
120,Huddersfield,2018-04-07,Brighton,eng Premier League,D 1-1,1,1,0,58,1,0,0,0,265,1696,770,20,12,1,14,14,431,52,Match Report
121,Everton,2018-04-07,Liverpool,eng Premier League,D 0-0,0,0,0,39,0,0,0,0,221,1189,612,10,5,1,18,12,271,27,Match Report
122,Brighton,2018-04-07,Huddersfield,eng Premier League,D 1-1,1,1,0,42,0,0,0,0,228,1163,573,15,7,4,14,12,266,34,Match Report
123,Newcastle Utd,2018-04-07,Leicester City,eng Premier League,W 2-1,2,1,+1,35,2,0,0,0,174,899,508,10,9,2,15,3,181,22,Match Report
124,Manchester Utd,2018-04-07,Manchester City,eng Premier League,W 3-2,3,2,+1,36,3,0,0,0,230,1226,581,7,7,2,16,5,260,19,Match Report
125,Leicester City,2018-04-07,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,65,1,0,0,0,373,2432,1158,22,15,5,17,7,443,65,Match Report
126,Burnley,2018-04-07,Watford,eng Premier League,W 2-1,2,1,+1,40,2,0,0,0,186,886,463,10,3,2,11,9,198,13,Match Report
127,Liverpool,2018-04-07,Everton,eng Premier League,D 0-0,0,0,0,61,0,0,0,0,344,1848,982,20,6,2,20,12,496,53,Match Report
128,West Brom,2018-04-07,Swansea City,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,424,2339,1197,19,17,2,14,10,422,37,Match Report
129,Watford,2018-04-07,Burnley,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,310,1558,761,13,11,2,20,11,344,38,Match Report
130,Bournemouth,2018-04-07,Crystal Palace,eng Premier League,D 2-2,2,2,0,53,2,0,0,0,358,2103,1108,30,18,4,11,2,415,53,Match Report
131,Crystal Palace,2018-04-07,Bournemouth,eng Premier League,D 2-2,2,2,0,47,2,0,0,0,319,1954,1116,29,17,13,15,3,371,42,Match Report
132,Tottenham,2018-04-07,Stoke City,eng Premier League,W 2-1,2,1,+1,65,2,0,0,0,344,1937,938,21,15,4,14,13,469,49,Match Report
133,Stoke City,2018-04-01,Arsenal,eng Premier League,L 0-3,0,3,-3,31,0,0,0,0,175,1082,596,12,11,4,15,10,196,26,Match Report
134,Chelsea,2018-04-01,Tottenham,eng Premier League,L 1-3,1,3,-2,49,1,0,0,0,354,2003,998,27,15,8,15,14,405,43,Match Report
135,Arsenal,2018-04-01,Stoke City,eng Premier League,W 3-0,3,0,+3,69,1,2,2,0,538,2633,1441,29,18,2,15,8,572,47,Match Report
136,Tottenham,2018-04-01,Chelsea,eng Premier League,W 3-1,3,1,+2,51,3,0,0,0,361,1866,890,14,12,4,17,21,462,47,Match Report
137,Manchester City,2018-03-31,Everton,eng Premier League,W 3-1,3,1,+2,81,3,0,0,0,663,3267,1801,27,27,9,17,5,919,60,Match Report
138,Swansea City,2018-03-31,Manchester Utd,eng Premier League,L 0-2,0,2,-2,34,0,0,0,0,303,1424,650,9,10,2,10,10,311,22,Match Report
139,Huddersfield,2018-03-31,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,37,0,0,0,0,219,1086,587,9,12,4,18,11,235,20,Match Report
140,Everton,2018-03-31,Manchester City,eng Premier League,L 1-3,1,3,-2,19,1,0,0,0,129,609,219,7,2,2,9,5,149,16,Match Report
141,Brighton,2018-03-31,Leicester City,eng Premier League,L 0-2,0,2,-2,48,0,0,1,1,270,1555,875,14,8,4,12,7,300,38,Match Report
142,Newcastle Utd,2018-03-31,Huddersfield,eng Premier League,W 1-0,1,0,+1,63,1,0,0,0,452,2109,1007,22,12,7,23,9,493,54,Match Report
143,Manchester Utd,2018-03-31,Swansea City,eng Premier League,W 2-0,2,0,+2,66,2,0,0,0,532,2554,1304,27,24,5,11,8,690,51,Match Report
144,Leicester City,2018-03-31,Brighton,eng Premier League,W 2-0,2,0,+2,52,2,0,0,0,307,1971,1011,28,17,6,12,6,358,39,Match Report
145,Burnley,2018-03-31,West Brom,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,352,1636,863,20,20,4,17,14,394,42,Match Report
146,Liverpool,2018-03-31,Crystal Palace,eng Premier League,W 2-1,2,1,+1,67,2,0,0,0,557,2890,1449,28,27,7,9,17,590,75,Match Report
147,West Ham,2018-03-31,Southampton,eng Premier League,W 3-0,3,0,+3,49,3,0,0,0,253,1608,704,16,12,6,9,10,290,30,Match Report
148,West Brom,2018-03-31,Burnley,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,271,1675,782,16,19,4,14,6,323,30,Match Report
149,Bournemouth,2018-03-31,Watford,eng Premier League,D 2-2,2,2,0,50,1,1,1,0,271,1532,684,15,8,7,17,9,359,35,Match Report
150,Watford,2018-03-31,Bournemouth,eng Premier League,D 2-2,2,2,0,50,2,0,0,0,310,1396,581,17,13,4,10,12,336,50,Match Report
151,Crystal Palace,2018-03-31,Liverpool,eng Premier League,L 1-2,1,2,-1,33,0,1,1,0,250,1551,755,17,8,4,26,10,213,25,Match Report
152,Southampton,2018-03-31,West Ham,eng Premier League,L 0-3,0,3,-3,51,0,0,0,0,296,1704,755,10,20,2,16,12,318,39,Match Report
153,Huddersfield,2018-03-17,Crystal Palace,eng Premier League,L 0-2,0,2,-2,55,0,0,0,0,339,2007,929,20,21,2,14,16,361,45,Match Report
154,Everton,2018-03-17,Stoke City,eng Premier League,W 2-1,2,1,+1,57,2,0,0,0,346,2429,1353,27,24,2,15,13,369,25,Match Report
155,Liverpool,2018-03-17,Watford,eng Premier League,W 5-0,5,0,+5,58,5,0,0,0,405,2092,1052,22,13,9,13,23,499,46,Match Report
156,Stoke City,2018-03-17,Everton,eng Premier League,L 1-2,1,2,-1,43,1,0,0,0,280,1539,839,15,13,1,18,16,253,29,Match Report
157,Watford,2018-03-17,Liverpool,eng Premier League,L 0-5,0,5,-5,42,0,0,0,0,322,1629,641,11,8,1,10,12,320,24,Match Report
158,West Brom,2018-03-17,Bournemouth,eng Premier League,L 1-2,1,2,-1,40,1,0,0,0,279,1672,750,13,6,5,18,12,270,35,Match Report
159,Bournemouth,2018-03-17,West Brom,eng Premier League,W 2-1,2,1,+1,60,2,0,0,0,400,2765,1442,33,27,5,13,10,472,47,Match Report
160,Crystal Palace,2018-03-17,Huddersfield,eng Premier League,W 2-0,2,0,+2,45,1,1,1,0,262,1401,629,17,18,5,20,14,298,29,Match Report
161,Stoke City,2018-03-12,Manchester City,eng Premier League,L 0-2,0,2,-2,24,0,0,0,0,164,821,288,6,5,0,14,10,180,12,Match Report
162,Manchester City,2018-03-12,Stoke City,eng Premier League,W 2-0,2,0,+2,76,2,0,0,0,599,2896,1539,23,19,9,9,12,779,71,Match Report
163,Arsenal,2018-03-11,Watford,eng Premier League,W 3-0,3,0,+3,59,3,0,0,0,388,1880,981,22,12,7,13,7,438,40,Match Report
164,Watford,2018-03-11,Arsenal,eng Premier League,L 0-3,0,3,-3,41,0,0,1,1,255,1139,537,12,3,3,14,12,265,38,Match Report
165,Bournemouth,2018-03-11,Tottenham,eng Premier League,L 1-4,1,4,-3,37,1,0,0,0,235,1114,531,14,10,4,18,14,243,31,Match Report
166,Tottenham,2018-03-11,Bournemouth,eng Premier League,W 4-1,4,1,+3,63,4,0,0,0,365,2068,934,20,16,8,18,9,478,55,Match Report
167,Liverpool,2018-03-10,Manchester Utd,eng Premier League,L 1-2,1,2,-1,67,0,0,0,0,425,2385,1226,30,23,4,11,14,507,74,Match Report
168,Swansea City,2018-03-10,Huddersfield,eng Premier League,D 0-0,0,0,0,20,0,0,0,0,94,508,176,2,3,1,10,6,101,3,Match Report
169,Huddersfield,2018-03-10,Swansea City,eng Premier League,D 0-0,0,0,0,80,0,0,0,0,571,3633,1994,55,31,15,12,11,650,103,Match Report
170,Everton,2018-03-10,Brighton,eng Premier League,W 2-0,2,0,+2,59,1,0,1,1,347,1520,785,14,11,6,21,13,359,31,Match Report
171,Brighton,2018-03-10,Everton,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,162,991,506,4,4,1,8,9,202,14,Match Report
172,Chelsea,2018-03-10,Crystal Palace,eng Premier League,W 2-1,2,1,+1,62,1,0,0,0,469,2869,1642,42,28,7,20,13,552,69,Match Report
173,Newcastle Utd,2018-03-10,Southampton,eng Premier League,W 3-0,3,0,+3,37,3,0,0,0,197,1078,555,9,7,3,16,8,219,22,Match Report
174,Leicester City,2018-03-10,West Brom,eng Premier League,W 4-1,4,1,+3,56,4,0,0,0,324,2120,1033,24,15,6,11,7,397,44,Match Report
175,Burnley,2018-03-10,West Ham,eng Premier League,W 3-0,3,0,+3,48,3,0,0,0,211,1108,511,11,7,2,16,10,312,36,Match Report
176,West Ham,2018-03-10,Burnley,eng Premier League,L 0-3,0,3,-3,52,0,0,0,0,267,1951,1071,23,17,6,6,7,329,52,Match Report
177,West Brom,2018-03-10,Leicester City,eng Premier League,L 1-4,1,4,-3,44,1,0,0,0,231,1401,724,16,12,4,15,9,285,37,Match Report
178,Crystal Palace,2018-03-10,Chelsea,eng Premier League,L 1-2,1,2,-1,38,1,0,0,0,278,1715,891,21,18,4,18,11,305,33,Match Report
179,Southampton,2018-03-10,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,63,0,0,0,0,395,1962,1015,14,11,2,12,10,420,43,Match Report
