Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl.1,Att.4,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh.1,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd.1,Mid 3rd.1,Att 3rd.1,Att Pen,Live,Carries,TotDist.1,PrgDist.1,PrgC,1/3.1,CPA,Mis,Dis,Rec,PrgR,Match Report
11,Crystal Palace,2021-03-07,Tottenham,eng Premier League,L 1-4,1,4,-3,37,1,0,0,0,307,422,72.7,4,15,3,2,21,5245,2041,160,197,81.2,103,127,81.1,36,66,54.5,18,13,10,7,1,12,23,52.2,11,12,3,9,7,25,14,1,0.5,0.5,-2.1,-2.1,0.5,0.4,0.5,0.5,0.5,0.11,5,0.2,1.0,1,20.0,14.9,0,3.1,0.63,-0.9,494,52,146,255,96,8,494,218,1297,496,9,6,1,9,18,306,21,Match Report
12,Crystal Palace,2021-03-03,Manchester Utd,eng Premier League,D 0-0,0,0,0,37,0,0,0,0,300,391,76.7,5,22,6,2,19,5635,2259,127,144,88.2,124,142,87.3,38,81,46.9,19,12,9,8,2,13,24,54.2,11,11,3,8,9,28,26,0,0.9,0.9,0.0,0.0,0.7,0.4,-0.9,-0.9,-0.7,0.11,8,0.0,0.0,2,25.0,18.3,1,0.5,0.5,0.5,512,70,216,203,96,12,512,205,1296,511,13,4,2,23,4,297,17,Match Report
13,Crystal Palace,2021-02-28,Fulham,eng Premier League,D 0-0,0,0,0,40,0,0,0,0,308,404,76.2,2,21,3,2,22,5726,2450,137,166,82.5,111,130,85.4,44,78,56.4,20,8,5,14,1,9,25,36.0,16,17,2,15,20,40,17,0,0.1,0.1,-1.2,-1.2,0.1,0.4,-0.1,-0.1,-0.1,0.04,3,0.0,,0,0.0,15.8,0,0.5,0.13,0.5,529,70,207,230,94,7,529,324,1377,501,4,4,1,18,9,308,22,Match Report
14,Crystal Palace,2021-02-22,Brighton,eng Premier League,W 2-1,2,1,1,26,2,0,0,0,182,276,65.9,3,8,2,2,13,3318,1602,79,104,76.0,73,94,77.7,21,51,41.2,22,14,16,5,1,16,26,61.5,10,14,9,5,15,37,34,0,0.2,0.2,-2.2,-2.2,0.2,0.3,1.8,1.8,1.8,0.08,3,0.67,1.0,2,66.7,15.0,0,1.6,0.37,0.6,410,89,236,154,25,2,410,149,982,452,6,2,0,15,7,180,13,Match Report
15,Crystal Palace,2021-02-13,Burnley,eng Premier League,L 0-3,0,3,-3,54,0,0,0,0,358,491,72.9,9,22,13,2,37,6012,2671,157,189,83.1,135,172,78.5,41,80,51.3,16,8,6,7,3,4,15,26.7,11,12,6,6,5,21,10,0,0.5,0.5,-0.8,-0.8,0.4,0.8,-0.5,-0.5,-0.4,0.04,13,0.0,0.0,3,23.1,18.6,0,1.5,0.39,-1.5,586,50,175,219,196,29,586,290,1794,912,28,10,5,19,9,352,37,Match Report
16,Crystal Palace,2021-02-08,Leeds United,eng Premier League,L 0-2,0,2,-2,33,0,0,0,0,279,367,76.0,8,20,5,1,28,4860,2397,139,161,86.3,103,124,83.1,32,63,50.8,11,5,8,2,1,3,8,37.5,5,10,3,7,3,14,16,2,0.4,0.4,-1.6,-1.6,0.4,0.4,-0.4,-0.4,-0.4,0.05,8,0.0,0.0,3,37.5,19.3,0,2.0,0.29,0.0,462,55,188,179,108,16,462,260,1572,742,13,14,4,23,14,277,27,Match Report
17,Crystal Palace,2021-02-02,Newcastle Utd,eng Premier League,W 2-1,2,1,1,39,2,0,0,0,320,422,75.8,4,20,8,1,30,5286,1959,163,188,86.7,120,136,88.2,31,76,40.8,14,6,6,6,2,10,22,45.5,12,18,6,12,11,25,22,0,0.7,0.7,-1.1,-1.1,0.7,0.8,1.3,1.3,0.3,0.13,6,0.33,0.67,3,50.0,18.6,0,0.8,0.16,-0.2,531,67,170,248,120,12,531,228,1321,567,9,9,0,21,5,318,30,Match Report
18,Crystal Palace,2021-01-30,Wolves,eng Premier League,W 1-0,1,0,1,48,1,0,0,0,471,547,86.1,7,31,3,0,42,7787,2811,229,246,93.1,189,203,93.1,38,68,55.9,14,6,7,6,1,11,24,45.8,13,2,1,1,8,22,17,0,1.4,1.4,1.0,1.0,0.8,0.5,-0.4,-0.4,0.2,0.13,11,0.09,0.5,2,18.2,20.0,2,0.4,0.1,0.4,641,48,178,255,139,17,641,481,2524,1220,22,18,7,11,18,465,41,Match Report
19,Crystal Palace,2021-01-26,West Ham,eng Premier League,L 2-3,2,3,-1,54,2,0,0,0,452,581,77.8,6,41,14,1,62,7452,2914,218,245,89.0,176,225,78.2,38,67,56.7,17,8,10,5,2,6,16,37.5,10,15,4,11,14,31,10,2,0.7,0.7,-2.1,-2.1,0.7,0.7,1.3,1.3,1.3,0.12,6,0.33,0.67,3,50.0,21.8,0,2.2,0.33,-0.8,693,42,215,255,159,18,693,332,2229,1161,20,14,1,14,12,452,62,Match Report
20,Crystal Palace,2021-01-17,Manchester City,eng Premier League,L 0-4,0,4,-4,29,0,0,0,0,233,321,72.6,2,12,1,0,8,3568,1238,120,139,86.3,84,101,83.2,16,48,33.3,15,9,11,3,1,6,13,46.2,7,10,4,6,8,23,31,0,0.1,0.1,-0.6,-0.6,0.1,0.1,-0.1,-0.1,-0.1,0.03,2,0.0,,0,0.0,28.2,0,1.7,0.29,-2.3,434,80,224,146,68,8,434,189,1166,438,7,6,2,13,10,233,8,Match Report
21,Crystal Palace,2021-01-14,Arsenal,eng Premier League,D 0-0,0,0,0,33,0,0,0,0,275,364,75.5,9,26,4,1,31,4632,2218,153,170,90.0,98,119,82.4,22,61,36.1,14,7,5,9,0,9,27,33.3,18,10,2,8,17,31,24,0,0.8,0.8,0.4,0.4,0.5,0.5,-0.8,-0.8,-0.5,0.07,12,0.0,0.0,2,16.7,18.2,1,0.2,0.04,0.2,485,57,204,189,97,18,485,286,1273,591,8,8,5,13,4,275,31,Match Report
22,Crystal Palace,2021-01-02,Sheffield Utd,eng Premier League,W 2-0,2,0,2,44,2,0,0,0,332,462,71.9,8,19,4,1,33,5145,2138,181,220,82.3,108,137,78.8,26,65,40.0,24,14,13,10,1,13,20,65.0,7,10,4,6,9,33,27,0,0.6,0.6,0.2,0.2,0.5,0.8,1.4,1.4,0.5,0.06,9,0.22,0.5,4,44.4,17.9,0,0.1,0.04,0.1,589,52,191,251,153,16,589,265,1662,837,16,20,2,11,13,330,33,Match Report
23,Crystal Palace,2020-12-28,Leicester City,eng Premier League,D 1-1,1,1,0,34,1,0,0,0,210,348,60.3,4,21,4,3,16,4127,1995,85,120,70.8,91,132,68.9,30,76,39.5,18,11,12,5,1,10,22,45.5,12,17,3,14,14,32,30,0,0.5,0.5,-1.5,-0.7,0.5,0.4,0.5,0.5,0.5,0.12,4,0.25,1.0,1,25.0,10.1,0,1.2,0.07,0.2,469,66,212,192,70,6,469,215,1093,517,9,7,1,13,14,209,16,Match Report
24,Crystal Palace,2020-12-26,Aston Villa,eng Premier League,L 0-3,0,3,-3,61,0,0,0,0,413,528,78.2,8,29,8,1,58,6127,2530,230,261,88.1,142,174,81.6,24,62,38.7,12,7,8,4,0,7,21,33.3,14,12,5,7,7,19,11,0,0.9,0.9,-3.0,-3.0,0.4,0.8,-0.9,-0.9,-0.4,0.07,13,0.0,0.0,6,46.2,20.2,2,3.5,0.46,0.5,622,53,172,255,174,22,622,347,2238,1261,21,17,5,10,7,407,57,Match Report
25,Crystal Palace,2020-12-19,Liverpool,eng Premier League,L 0-7,0,7,-7,36,0,0,0,0,323,436,74.1,4,22,4,1,28,5686,2374,162,195,83.1,107,126,84.9,44,79,55.7,10,7,2,5,3,4,13,30.8,9,8,2,6,9,19,9,1,0.3,0.3,-2.2,-2.2,0.3,0.3,-0.3,-0.3,-0.3,0.06,5,0.0,0.0,3,60.0,20.8,0,4.0,0.57,-3.0,518,46,162,252,113,14,518,334,1427,551,16,9,4,14,9,320,27,Match Report
26,Crystal Palace,2020-12-16,West Ham,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,351,459,76.5,7,24,8,2,37,5578,2255,177,205,86.3,117,149,78.5,33,64,51.6,23,20,7,10,6,6,12,50.0,6,3,0,3,4,27,22,0,1.1,1.1,0.7,0.7,1.1,0.8,-0.1,-0.1,-0.1,0.14,8,0.13,0.5,2,25.0,13.2,0,0.9,0.47,-0.1,547,49,141,255,143,22,547,268,1614,746,16,15,6,11,13,348,36,Match Report
27,Crystal Palace,2020-12-13,Tottenham,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,304,390,77.9,12,27,8,1,35,5351,2384,154,176,87.5,99,124,79.8,41,60,68.3,11,8,5,5,1,5,10,50.0,5,8,3,5,16,27,25,1,1.6,1.6,0.7,0.7,0.7,1.0,-0.6,-0.6,-0.7,0.1,16,0.06,0.2,5,31.3,16.0,2,0.8,0.13,-0.2,513,64,186,202,128,26,513,239,1601,746,17,12,4,13,14,303,35,Match Report
28,Crystal Palace,2020-12-06,West Brom,eng Premier League,W 5-1,5,1,4,50,4,0,0,0,453,524,86.5,17,35,13,1,55,7507,2536,200,215,93.0,188,200,94.0,41,66,62.1,14,6,5,6,3,5,14,35.7,9,9,1,8,5,19,16,0,1.6,1.6,1.0,1.0,1.7,2.0,2.4,2.4,2.3,0.09,18,0.22,0.67,6,33.3,16.0,0,0.5,0.14,-0.5,626,46,171,255,175,31,626,462,2170,960,17,17,7,9,6,447,54,Match Report
29,Crystal Palace,2020-11-27,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,57,0,0,0,0,445,555,80.2,8,36,17,6,44,7479,2906,228,263,86.7,164,188,87.2,43,85,50.6,15,8,8,7,0,4,8,50.0,4,9,2,7,9,24,10,1,0.6,0.6,-0.7,-0.7,0.4,0.7,-0.6,-0.6,-0.4,0.05,12,0.0,0.0,3,25.0,17.0,1,0.9,0.13,-1.1,657,38,207,255,149,28,657,416,2312,947,21,7,6,11,18,437,43,Match Report
30,Crystal Palace,2020-11-23,Burnley,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,395,524,75.4,14,17,9,2,36,5843,2280,222,257,86.4,130,164,79.3,23,59,39.0,12,5,2,9,1,4,8,50.0,4,6,3,3,4,16,15,2,1.5,1.5,0.0,0.0,1.3,0.7,-1.5,-1.5,-1.3,0.1,15,0.0,0.0,5,33.3,19.5,0,0.8,0.21,-0.2,623,47,174,255,157,25,623,379,1963,1080,25,20,5,15,11,392,36,Match Report
31,Crystal Palace,2020-11-07,Leeds United,eng Premier League,W 4-1,4,1,3,36,3,0,0,0,256,361,70.9,8,25,7,0,30,4047,2124,138,158,87.3,74,101,73.3,27,66,40.9,15,6,6,8,1,7,15,46.7,8,8,2,6,13,28,34,0,0.9,0.9,0.0,0.0,0.7,0.4,2.1,2.1,1.3,0.09,10,0.3,0.5,6,60.0,17.2,1,1.2,0.4,0.2,499,62,203,189,110,20,499,278,1590,772,18,8,8,21,14,252,29,Match Report
32,Crystal Palace,2020-10-30,Wolves,eng Premier League,L 0-2,0,2,-2,55,0,0,0,0,521,590,88.3,6,32,8,2,41,8112,2514,274,290,94.5,197,218,90.4,30,46,65.2,10,3,4,5,1,3,12,25.0,9,15,2,13,8,18,16,0,0.7,0.7,-0.6,-0.6,0.4,0.7,-0.7,-0.7,-0.4,0.06,11,0.0,0.0,2,18.2,19.3,2,1.2,0.24,-0.8,686,55,161,255,131,18,686,464,2075,1009,16,11,6,10,7,518,41,Match Report
33,Crystal Palace,2020-10-24,Fulham,eng Premier League,W 2-1,2,1,1,36,2,0,0,0,320,401,79.8,11,17,5,1,18,5251,2026,173,186,93.0,112,130,86.2,26,62,41.9,22,13,16,5,1,8,21,38.1,13,12,4,8,10,32,21,0,2.5,2.5,1.5,1.5,2.3,1.9,-0.5,-0.5,-0.3,0.19,14,0.14,0.2,10,71.4,11.9,1,0.6,0.19,-0.4,523,66,212,215,102,24,523,281,1646,814,15,8,7,14,15,318,18,Match Report
34,Crystal Palace,2020-10-18,Brighton,eng Premier League,D 1-1,1,1,0,34,0,1,1,0,206,309,66.7,0,10,3,2,20,3270,1472,126,143,88.1,59,86,68.6,16,55,29.1,19,9,12,3,4,4,14,28.6,10,16,7,9,3,22,32,2,0.8,0.0,-1.0,-1.7,0.0,0.2,0.2,0.0,0.0,,0,,,0,,,0,0.5,0.18,-0.5,420,62,176,183,65,4,419,196,1023,524,8,11,1,15,11,206,20,Match Report
35,Crystal Palace,2020-10-03,Chelsea,eng Premier League,L 0-4,0,4,-4,30,0,0,0,0,233,327,71.3,4,18,5,1,27,3699,1509,125,143,87.4,74,104,71.2,21,55,38.2,10,7,6,2,2,6,11,54.5,5,11,5,6,9,19,19,0,0.2,0.2,-2.5,-0.9,0.2,0.4,-0.2,-0.2,-0.2,0.04,4,0.0,,0,0.0,22.5,0,2.5,0.1,-1.5,422,49,137,196,90,12,422,246,1046,501,5,7,1,16,11,232,26,Match Report
36,Crystal Palace,2020-09-26,Everton,eng Premier League,L 1-2,1,2,-1,42,1,0,0,0,300,412,72.8,5,32,5,1,38,4931,2048,158,190,83.2,108,132,81.8,25,63,39.7,26,12,12,9,5,10,17,58.8,7,13,2,11,16,42,14,0,0.4,0.4,-1.5,-0.7,0.3,0.4,0.6,0.6,0.7,0.05,8,0.13,1.0,1,12.5,18.3,0,1.8,0.15,-0.2,537,35,143,250,150,19,537,292,1566,646,11,16,2,24,12,299,38,Match Report
37,Crystal Palace,2020-09-19,Manchester Utd,eng Premier League,W 3-1,3,1,2,25,2,1,1,0,146,250,58.4,11,12,1,0,16,2404,1175,67,88,76.1,52,77,67.5,15,52,28.8,24,12,17,3,4,8,20,40.0,12,25,9,16,20,44,38,0,1.6,0.9,0.4,-0.3,0.7,0.3,1.4,1.1,0.3,0.07,13,0.15,0.5,4,30.8,18.6,0,1.4,0.35,0.4,401,61,192,133,89,18,400,165,1121,625,15,11,7,14,8,141,15,Match Report
38,Crystal Palace,2020-09-12,Southampton,eng Premier League,W 1-0,1,0,1,31,1,0,0,0,150,289,51.9,5,14,1,0,24,2890,1662,57,84,67.9,58,99,58.6,26,72,36.1,15,9,8,6,1,5,11,45.5,6,7,1,6,12,27,23,0,1.1,1.1,0.2,0.2,1.1,0.5,-0.1,-0.1,-0.1,0.22,5,0.2,0.33,3,60.0,10.6,0,0.4,0.08,0.4,400,53,141,173,91,14,400,150,863,420,12,5,4,24,23,148,24,Match Report
1,Everton,2021-05-23,Manchester City,eng Premier League,L 0-5,0,5,-5,33,0,0,1,1,287,371,77.4,4,22,3,0,18,5194,1868,128,150,85.3,125,143,87.4,27,64,42.2,12,9,4,7,1,3,20,15.0,17,8,3,5,10,22,19,1,1.1,0.3,-1.5,-2.3,0.2,0.2,-1.1,-0.3,-0.2,0.04,7,0.0,0.0,2,28.6,23.1,0,4.8,0.43,-0.2,458,63,150,231,87,11,457,290,1664,751,18,11,2,7,3,286,18,Match Report
2,Everton,2021-05-19,Wolves,eng Premier League,W 1-0,1,0,1,41,1,0,0,0,316,409,77.3,12,20,6,2,29,6017,2530,148,177,83.6,110,132,83.3,47,72,65.3,21,12,13,6,2,12,31,38.7,19,10,4,6,10,31,38,1,0.7,0.7,0.4,0.4,0.7,0.7,0.3,0.3,0.3,0.05,14,0.07,0.25,4,28.6,15.9,0,0.2,0.08,0.2,544,69,217,202,135,15,544,245,1843,940,15,19,0,15,5,311,28,Match Report
3,Everton,2021-05-16,Sheffield Utd,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,583,693,84.1,14,47,14,2,57,10791,3467,216,236,91.5,314,347,90.5,46,87,52.9,21,11,8,8,5,10,19,52.6,9,10,4,6,8,29,15,1,1.4,1.4,0.2,0.2,0.8,1.0,-1.4,-1.4,-0.8,0.1,16,0.0,0.0,6,37.5,15.9,0,1.1,0.35,0.1,792,64,251,255,175,21,792,518,2808,1562,18,8,2,16,7,580,57,Match Report
4,Everton,2021-05-13,Aston Villa,eng Premier League,D 0-0,0,0,0,42,0,0,0,0,314,398,78.9,12,22,10,5,33,6018,2679,133,154,86.4,125,155,80.6,46,71,64.8,9,4,4,5,0,4,16,25.0,12,9,3,6,8,17,19,0,1.0,1.0,0.4,0.4,0.9,0.9,-1.0,-1.0,-0.9,0.07,15,0.0,0.0,5,33.3,14.6,1,0.1,0.07,0.1,492,58,167,225,113,24,492,311,1782,1011,23,20,2,16,5,314,33,Match Report
5,Everton,2021-05-09,West Ham,eng Premier League,W 1-0,1,0,1,32,1,0,0,0,222,312,71.2,7,13,5,1,20,4209,2047,105,125,84.0,83,98,84.7,29,68,42.6,24,15,9,14,1,13,20,65.0,7,9,5,4,6,30,39,0,1.5,1.5,0.2,0.2,1.4,1.4,-0.5,-0.5,-0.4,0.17,9,0.11,0.33,3,33.3,12.5,1,0.0,,0.0,439,75,208,172,68,12,439,198,1234,655,10,7,1,11,7,220,20,Match Report
6,Everton,2021-05-01,Aston Villa,eng Premier League,L 1-2,1,2,-1,47,1,0,0,0,367,462,79.4,12,26,8,2,26,6205,2516,186,199,93.5,122,148,82.4,43,82,52.4,20,13,13,5,2,8,16,50.0,8,11,3,8,7,27,16,1,1.0,1.0,-0.6,-0.6,0.8,0.6,0.0,0.0,0.2,0.06,16,0.06,0.33,3,18.8,19.6,0,1.7,0.36,-0.3,580,69,207,249,128,19,580,372,1888,933,16,14,1,17,9,364,26,Match Report
7,Everton,2021-04-23,Arsenal,eng Premier League,W 1-0,1,0,1,41,0,0,0,0,375,466,80.5,4,20,4,1,22,6677,2417,168,190,88.4,161,179,89.9,35,70,50.0,19,14,12,4,3,10,16,62.5,6,10,8,2,8,27,20,1,0.5,0.5,-0.3,-0.3,0.4,0.4,-0.5,-0.5,-0.4,0.07,8,0.0,0.0,1,12.5,20.8,2,0.2,0.05,0.2,551,100,255,210,63,10,551,228,1297,644,10,6,2,9,9,374,22,Match Report
8,Everton,2021-04-16,Tottenham,eng Premier League,D 2-2,2,2,0,53,1,1,1,0,422,543,77.7,13,26,8,0,39,6776,2387,204,227,89.9,160,190,84.2,36,75,48.0,22,12,10,11,1,10,17,58.8,7,13,5,8,8,30,22,0,1.8,1.0,0.4,-0.4,0.7,0.6,0.2,0.0,0.3,0.06,17,0.06,0.17,6,35.3,18.5,1,1.8,0.61,-0.2,671,77,211,255,146,24,670,357,1955,971,25,23,7,16,10,418,39,Match Report
9,Everton,2021-04-12,Brighton,eng Premier League,D 0-0,0,0,0,45,0,0,0,0,334,444,75.2,4,23,5,1,26,6512,2458,127,152,83.6,153,181,84.5,46,77,59.7,7,6,4,3,0,1,7,14.3,6,16,10,6,19,26,22,0,0.4,0.4,-0.8,-0.8,0.2,0.2,-0.4,-0.4,-0.2,0.05,8,0.0,0.0,1,12.5,22.0,1,0.4,0.12,0.4,551,81,210,255,89,13,551,227,1160,522,8,5,2,13,14,334,26,Match Report
10,Everton,2021-04-05,Crystal Palace,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,393,498,78.9,13,35,9,2,41,7723,2902,145,174,83.3,191,223,85.7,53,86,61.6,16,9,8,6,2,8,16,50.0,8,14,3,11,9,25,22,1,2.5,2.5,1.7,1.7,2.4,1.7,-1.5,-1.5,-1.4,0.17,15,0.07,0.14,7,46.7,15.1,1,1.4,0.24,0.4,609,71,215,255,137,22,609,400,2186,1176,17,13,2,10,9,391,41,Match Report
11,Everton,2021-03-13,Burnley,eng Premier League,L 1-2,1,2,-1,65,1,0,0,0,483,614,78.7,13,43,9,2,51,9019,3249,197,229,86.0,207,243,85.2,60,100,60.0,8,4,4,3,1,1,12,8.3,11,5,3,2,7,15,13,0,1.5,1.5,0.7,0.7,1.5,1.6,-0.5,-0.5,-0.5,0.11,14,0.07,0.25,4,28.6,16.6,0,1.2,0.25,-0.8,701,66,183,255,183,22,701,399,2720,1484,25,11,5,19,3,482,51,Match Report
12,Everton,2021-03-08,Chelsea,eng Premier League,L 0-2,0,2,-2,35,0,0,0,0,316,400,79.0,5,13,1,1,24,5655,1953,141,148,95.3,119,137,86.9,41,81,50.6,10,5,3,6,1,5,21,23.8,16,12,4,8,9,19,12,0,0.3,0.3,-2.1,-1.3,0.2,0.2,-0.3,-0.3,-0.2,0.05,7,0.0,0.0,1,14.3,24.0,1,3.0,0.23,2.0,488,77,196,201,95,6,488,278,1563,695,8,11,1,13,15,311,23,Match Report
13,Everton,2021-03-04,West Brom,eng Premier League,W 1-0,1,0,1,51,1,0,0,0,421,537,78.4,8,25,7,2,41,7153,2727,194,216,89.8,176,217,81.1,33,64,51.6,20,11,9,7,4,15,29,51.7,14,10,5,5,7,27,35,0,1.0,1.0,0.0,0.0,0.7,0.8,0.0,0.0,0.3,0.09,11,0.09,0.33,3,27.3,20.8,0,0.8,0.28,0.8,674,80,243,255,134,21,674,398,2373,1342,21,18,2,20,4,414,41,Match Report
14,Everton,2021-03-01,Southampton,eng Premier League,W 1-0,1,0,1,47,1,0,0,0,328,452,72.6,5,16,4,0,23,6105,2424,121,154,78.6,140,168,83.3,46,84,54.8,20,10,4,11,5,8,12,66.7,4,16,4,12,12,32,22,0,1.2,1.2,0.6,0.6,0.9,1.0,-0.2,-0.2,0.1,0.17,7,0.14,1.0,1,14.3,13.8,1,0.1,0.06,0.1,574,70,229,253,100,13,574,260,1302,562,9,8,1,14,10,326,23,Match Report
15,Everton,2021-02-20,Liverpool,eng Premier League,W 2-0,2,0,2,29,1,1,1,0,200,307,65.1,3,15,4,1,14,3696,1765,89,108,82.4,68,88,77.3,27,74,36.5,21,12,11,7,3,13,29,44.8,16,6,2,4,8,29,34,1,1.6,1.0,0.2,-0.4,0.6,0.4,0.4,0.0,0.4,0.13,8,0.13,0.2,5,62.5,22.8,1,1.3,0.22,1.3,423,86,200,152,74,8,422,164,803,360,9,4,2,12,10,200,14,Match Report
16,Everton,2021-02-17,Manchester City,eng Premier League,L 1-3,1,3,-2,29,1,0,0,0,242,336,72.0,2,16,5,1,18,4908,2085,95,114,83.3,106,124,85.5,36,82,43.9,18,11,14,3,1,9,24,37.5,15,15,5,10,14,32,26,1,1.0,1.0,0.0,0.0,0.1,0.2,0.0,0.0,-0.1,0.36,3,0.33,0.5,2,66.7,9.4,0,1.7,0.24,-1.3,438,97,218,159,65,8,438,266,1398,650,11,7,1,12,5,241,18,Match Report
17,Everton,2021-02-14,Fulham,eng Premier League,L 0-2,0,2,-2,50,0,0,0,0,469,580,80.9,5,26,4,3,28,9021,2421,179,200,89.5,218,245,89.0,62,100,62.0,17,11,9,6,2,6,14,42.9,8,12,3,9,5,22,13,1,0.3,0.3,-2.2,-2.2,0.3,0.4,-0.3,-0.3,-0.3,0.05,7,0.0,0.0,2,28.6,18.7,0,1.8,0.65,-0.2,664,67,255,255,109,8,664,331,1500,683,10,10,2,14,10,466,28,Match Report
18,Everton,2021-02-06,Manchester Utd,eng Premier League,D 3-3,3,3,0,39,3,0,0,0,344,439,78.4,4,23,5,0,32,6452,2776,128,150,85.3,164,186,88.2,38,64,59.4,16,10,15,1,0,6,17,35.3,11,13,3,10,10,26,21,0,1.5,1.5,-0.3,-0.3,0.6,0.3,1.5,1.5,1.4,0.25,6,0.5,1.0,3,50.0,13.7,0,1.4,0.28,-1.6,540,72,255,199,89,18,540,246,1148,494,8,3,3,9,10,341,32,Match Report
19,Everton,2021-02-03,Leeds United,eng Premier League,W 2-1,2,1,1,37,2,0,0,0,266,366,72.7,7,21,7,1,23,4659,1998,124,140,88.6,100,125,80.0,26,60,43.3,13,7,5,4,4,6,15,40.0,9,20,3,17,10,23,34,1,1.6,1.6,0.3,0.3,1.5,0.6,0.4,0.4,0.5,0.16,10,0.2,0.33,6,60.0,15.9,0,1.5,0.22,0.5,501,70,180,211,119,14,501,227,1596,794,15,10,2,17,10,259,23,Match Report
20,Everton,2021-01-30,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,60,0,0,0,0,436,538,81.0,7,35,6,0,45,7758,2791,203,223,91.0,171,203,84.2,52,85,61.2,17,12,8,6,3,7,15,46.7,8,20,5,15,9,26,29,0,0.8,0.8,-0.9,-0.9,0.4,0.6,-0.8,-0.8,-0.4,0.07,11,0.0,0.0,3,27.3,17.5,0,1.4,0.47,-0.6,645,75,227,255,147,24,645,291,1976,1136,19,17,2,13,11,434,45,Match Report
21,Everton,2021-01-27,Leicester City,eng Premier League,D 1-1,1,1,0,35,1,0,0,0,244,341,71.6,4,16,6,4,16,4587,1791,106,126,84.1,97,121,80.2,37,76,48.7,14,9,9,2,3,6,15,40.0,9,21,10,11,11,25,24,1,0.5,0.5,-0.7,-0.7,0.4,0.6,0.5,0.5,-0.4,0.06,8,0.13,0.5,2,25.0,15.0,0,1.3,0.21,0.3,465,80,216,132,123,14,465,249,1238,620,10,10,2,13,11,243,15,Match Report
22,Everton,2021-01-12,Wolves,eng Premier League,W 2-1,2,1,1,48,2,0,0,0,467,545,85.7,5,32,8,1,50,8356,2609,200,218,91.7,220,243,90.5,37,56,66.1,11,7,2,9,0,5,14,35.7,9,10,3,7,10,21,24,0,0.6,0.6,-0.2,-0.2,0.6,0.4,1.4,1.4,1.4,0.11,5,0.4,0.67,3,60.0,11.7,0,0.6,0.21,-0.4,633,62,182,255,136,13,633,332,1977,1258,14,16,1,10,7,466,50,Match Report
23,Everton,2021-01-01,West Ham,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,521,639,81.5,7,48,8,3,47,8686,2812,259,289,89.6,208,242,86.0,41,72,56.9,15,10,12,3,0,5,9,55.6,4,9,1,8,11,26,18,1,0.4,0.4,-0.9,-0.9,0.3,0.7,-0.4,-0.4,-0.3,0.04,10,0.0,0.0,2,20.0,21.0,0,1.4,0.27,0.4,727,63,216,255,157,17,727,443,2760,1672,25,15,2,14,10,518,47,Match Report
24,Everton,2020-12-26,Sheffield Utd,eng Premier League,W 1-0,1,0,1,56,1,0,0,0,456,587,77.7,6,31,8,2,34,8285,2825,187,217,86.2,199,234,85.0,50,91,54.9,13,9,8,5,0,3,10,30.0,7,15,4,11,8,21,24,0,0.7,0.7,-0.7,-0.7,0.6,0.5,0.3,0.3,0.4,0.1,7,0.14,0.33,3,42.9,19.9,0,0.7,0.71,0.7,697,68,247,255,120,18,697,382,2265,1220,22,9,6,17,10,454,34,Match Report
25,Everton,2020-12-19,Arsenal,eng Premier League,W 2-1,2,1,1,43,1,0,0,0,347,439,79.0,5,24,4,2,20,7006,2309,118,139,84.9,175,192,91.1,46,83,55.4,12,6,10,1,1,4,13,30.8,9,8,4,4,11,23,18,0,0.6,0.6,-0.7,0.0,0.4,0.3,0.4,0.4,0.6,0.07,9,0.11,0.5,2,22.2,19.7,1,1.0,0.02,0.0,528,79,188,227,114,12,528,290,1701,885,16,9,4,17,4,344,20,Match Report
26,Everton,2020-12-16,Leicester City,eng Premier League,W 2-0,2,0,2,39,2,0,0,0,285,383,74.4,8,16,5,1,22,5393,2188,132,157,84.1,102,122,83.6,46,84,54.8,13,7,10,2,1,5,16,31.3,11,14,7,7,7,20,18,0,1.4,1.4,0.6,0.6,0.6,0.5,0.6,0.6,0.4,0.17,11,0.18,0.33,6,54.5,13.0,0,0.2,0.12,0.2,490,63,191,205,102,14,490,203,1579,820,16,11,2,17,16,282,22,Match Report
