Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
22,Leeds United,2021-12-14,Manchester City,eng Premier League,L 0-7,0,7,-7,37,0,0,0,0,296,368,80.4,4,12,2,0,18,4942,1782,130,142,91.5,124,135,91.9,26,56,46.4,15,8,9,6,0,14,31,45.2,17,14,7,7,7,22,15,3,0.3,0.3,-2.7,-2.7,0.2,0.1,-0.3,-0.3,-0.2,0.05,6,0.00,0.00,3,50.0,25.3,1,2.3,0.16,-4.7,455,92,253,143,63,9,455,255,1543,777,13,10,3,9,9,295,18,Match Report
23,Leeds United,2021-12-11,Chelsea,eng Premier League,L 2-3,2,3,-1,43,1,1,1,0,252,352,71.6,7,20,6,2,25,4226,1740,123,142,86.6,103,125,82.4,21,54,38.9,23,11,12,9,2,8,16,50.0,8,13,4,9,9,32,13,0,1.4,0.7,-1.0,-0.3,0.4,0.5,+0.6,+0.3,+0.6,0.06,11,0.09,0.25,4,36.4,19.4,2,3.1,0.18,+0.1,459,73,204,165,96,14,458,225,1414,813,14,10,5,13,10,252,25,Match Report
24,Leeds United,2021-12-05,Brentford,eng Premier League,D 2-2,2,2,0,63,2,0,0,0,440,580,75.9,12,42,5,2,50,7685,2176,202,235,86.0,179,213,84.0,51,99,51.5,18,11,9,5,4,7,16,43.8,9,11,4,7,16,34,19,0,1.2,1.2,+0.2,+0.2,1.2,0.8,+0.8,+0.8,+0.8,0.10,13,0.15,0.33,6,46.2,17.3,0,0.8,0.26,-1.2,676,50,174,255,209,21,676,439,2207,1179,22,20,2,12,11,438,50,Match Report
25,Leeds United,2021-11-30,Crystal Palace,eng Premier League,W 1-0,1,0,+1,61,0,1,1,0,398,512,77.7,8,40,4,0,50,7362,2764,153,186,82.3,214,249,85.9,31,64,48.4,23,9,9,12,2,8,26,30.8,18,13,4,9,12,35,17,0,1.4,0.6,+0.3,-0.5,0.3,0.6,-0.4,-0.6,-0.3,0.04,14,0.00,0.00,2,14.3,20.1,0,0.1,0.07,+0.1,645,62,217,255,144,17,644,390,2089,1184,15,6,5,20,7,397,50,Match Report
26,Leeds United,2021-11-27,Brighton,eng Premier League,D 0-0,0,0,0,43,0,0,0,0,284,413,68.8,8,18,3,0,32,4896,1874,130,152,85.5,123,156,78.8,24,80,30.0,28,14,10,16,2,15,31,48.4,16,11,2,9,15,43,18,1,0.6,0.6,-1.5,-1.5,0.4,0.3,-0.6,-0.6,-0.4,0.06,11,0.00,0.00,4,36.4,17.4,1,0.5,0.14,+0.5,548,87,209,245,103,19,548,245,1477,805,17,8,4,25,6,278,31,Match Report
27,Leeds United,2021-11-21,Tottenham,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,463,575,80.5,12,24,3,0,35,8151,2368,197,226,87.2,205,237,86.5,47,85,55.3,20,13,10,8,2,16,28,57.1,12,12,6,6,14,34,19,0,1.4,1.4,-0.6,-0.6,1.3,1.1,-0.4,-0.4,-0.3,0.08,18,0.06,0.14,7,38.9,21.4,1,2.4,0.61,+0.4,699,80,239,255,167,24,699,435,2489,1219,31,15,11,18,7,461,35,Match Report
28,Leeds United,2021-11-07,Leicester City,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,369,495,74.5,11,32,7,1,52,6650,2701,165,190,86.8,152,187,81.3,39,83,47.0,12,9,5,5,2,7,12,58.3,5,15,0,15,18,30,13,1,1.3,1.3,+0.6,+0.6,1.2,0.6,-0.3,-0.3,-1.2,0.08,18,0.06,0.20,5,27.8,17.7,1,1.4,0.46,+0.4,635,57,213,234,192,26,635,375,1783,804,19,8,6,20,14,368,52,Match Report
29,Leeds United,2021-10-31,Norwich City,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,287,387,74.2,12,18,6,1,27,4905,2097,126,154,81.8,115,137,83.9,27,63,42.9,21,10,9,9,3,9,23,39.1,14,10,4,6,7,28,22,0,0.7,0.7,-0.1,-0.1,0.7,0.8,+1.3,+1.3,+1.3,0.06,13,0.15,0.40,5,38.5,20.9,0,0.5,0.17,-0.5,514,58,202,218,100,18,514,222,1505,699,12,7,7,21,8,282,27,Match Report
30,Leeds United,2021-10-23,Wolves,eng Premier League,D 1-1,1,1,0,62,0,1,1,0,429,535,80.2,13,34,8,2,50,7759,2212,171,199,85.9,200,229,87.3,44,72,61.1,25,15,7,12,6,10,21,47.6,11,8,2,6,14,39,11,1,1.6,0.8,+0.7,0.0,0.7,0.6,-0.6,-0.8,-0.7,0.05,17,0.00,0.00,3,17.6,19.2,0,0.7,0.19,-0.3,665,38,159,255,190,36,664,383,2414,1451,28,16,7,17,11,424,50,Match Report
31,Leeds United,2021-10-16,Southampton,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,377,492,76.6,2,21,3,1,29,6656,2437,164,193,85.0,169,198,85.4,35,76,46.1,21,14,11,8,2,9,26,34.6,17,11,3,8,15,36,17,1,0.2,0.2,-1.7,-1.7,0.1,0.2,-0.2,-0.2,-0.1,0.06,3,0.00,,0,0.0,21.7,0,1.2,0.30,+0.2,595,87,255,244,78,9,595,296,1788,872,10,7,4,20,14,373,28,Match Report
32,Leeds United,2021-10-02,Watford,eng Premier League,W 1-0,1,0,+1,66,1,0,0,0,431,547,78.8,12,32,9,2,56,8171,2882,150,170,88.2,234,264,88.6,42,83,50.6,14,11,8,4,2,9,12,75.0,3,9,1,8,3,17,13,1,1.3,1.3,+1.1,+1.1,0.8,0.8,-0.3,-0.3,-0.8,0.07,20,0.05,0.33,3,15.0,18.8,1,0.2,0.18,+0.2,658,53,226,247,188,28,658,386,1850,1004,19,17,5,18,9,428,55,Match Report
33,Leeds United,2021-09-25,West Ham,eng Premier League,L 1-2,1,2,-1,53,1,0,0,0,357,451,79.2,11,20,11,1,40,6389,2095,152,173,87.9,163,186,87.6,35,75,46.7,16,9,6,8,2,11,18,61.1,7,12,5,7,4,20,16,0,1.2,1.2,-0.4,-0.4,1.0,0.6,-0.2,-0.2,0.0,0.08,15,0.07,0.20,5,33.3,19.5,0,2.5,0.41,+1.5,561,76,234,199,132,25,561,303,1938,1098,20,13,5,13,5,353,39,Match Report
34,Leeds United,2021-09-17,Newcastle Utd,eng Premier League,D 1-1,1,1,0,65,1,0,0,0,498,600,83.0,18,40,10,2,62,8290,3190,250,276,90.6,191,213,89.7,45,79,57.0,19,9,9,8,2,8,15,53.3,7,7,2,5,6,25,14,1,1.5,1.5,+0.2,+0.2,1.4,1.1,-0.5,-0.5,-0.4,0.07,22,0.05,0.11,9,40.9,20.4,0,1.5,0.22,+0.5,708,73,180,255,166,35,708,423,2485,1487,21,15,7,14,8,493,60,Match Report
35,Leeds United,2021-09-12,Liverpool,eng Premier League,L 0-3,0,3,-3,44,0,0,0,0,355,449,79.1,7,20,7,2,29,6265,2393,159,183,86.9,159,175,90.9,31,66,47.0,16,8,13,2,1,9,18,50.0,9,24,15,9,10,26,20,0,1.2,1.2,-3.1,-3.1,1.0,0.9,-1.2,-1.2,-1.0,0.14,9,0.00,0.00,4,44.4,15.2,0,2.8,0.36,-0.2,564,108,255,189,95,20,564,392,1850,1127,21,7,6,25,4,352,29,Match Report
36,Leeds United,2021-08-29,Burnley,eng Premier League,D 1-1,1,1,0,64,1,0,0,0,459,580,79.1,9,31,9,1,51,8877,3151,177,203,87.2,218,243,89.7,60,109,55.0,17,10,11,5,1,5,13,38.5,8,10,3,7,8,25,17,0,1.2,1.2,+0.2,+0.2,0.5,0.8,-0.2,-0.2,-0.5,0.11,12,0.08,0.50,2,16.7,16.1,0,1.2,0.46,+0.2,690,69,236,255,139,24,690,347,2005,1178,31,13,3,21,13,454,50,Match Report
37,Leeds United,2021-08-21,Everton,eng Premier League,D 2-2,2,2,0,69,2,0,0,0,547,658,83.1,13,34,5,1,54,8902,2906,282,318,88.7,222,249,89.2,33,67,49.3,19,9,9,8,2,9,17,52.9,8,11,4,7,9,28,6,0,1.2,1.2,-0.6,+0.2,1.1,0.4,+0.8,+0.8,+0.9,0.07,17,0.12,0.50,4,23.5,20.9,0,2.7,0.21,+0.7,773,56,202,255,194,19,773,454,2312,1353,26,19,3,22,6,543,53,Match Report
38,Leeds United,2021-08-14,Manchester Utd,eng Premier League,L 1-5,1,5,-4,51,1,0,0,0,372,482,77.2,7,19,7,3,32,6789,2426,148,168,88.1,173,199,86.9,38,83,45.8,23,13,10,11,2,12,24,50.0,12,13,3,10,14,37,12,0,0.5,0.5,-1.0,-1.0,0.5,0.3,+0.5,+0.5,+0.5,0.05,10,0.10,0.33,3,30.0,21.3,0,1.6,0.20,-3.4,584,75,255,240,93,11,584,342,1527,707,6,6,0,20,3,371,32,Match Report
